Year,Month,Day,Hour,Minute,Ta,Ta_flag,Td,Td_flag,RH,Pa,Pa_flag,GHI,DNI,DHI,CS_GHI,CS_DNI,CS_DHI,WD,WD_flag,WS,WS_flag,PCW,PC_1hr,PC_6hr,Zenith
2003,1,1,1,0,5.6,0,4.4,0,92,101496,0,0,0,0,0,0,0,220,0,3.6,0,2.437,0,0,160.7
2003,1,1,2,0,5.6,0,3.9,0,88.8,101536,0,0,0,0,0,0,0,230,0,4.1,0,2.48,0,999,153.7
2003,1,1,3,0,6.7,0,5,0,88.9,101597,0,0,0,0,0,0,0,270,0,3.6,0,2.49,0,999,143.6
2003,1,1,4,0,6.7,0,5,0,88.9,101567,0,0,0,0,0,0,0,0,0,0,0,2.488,0,999,132.5
2003,1,1,5,0,6.7,0,6.1,0,95.9,101547,0,0,0,0,0,0,0,0,0,0,0,2.471,-1,999,121.2
2003,1,1,6,0,5.6,0,5.6,0,100,101566,0,0,0,0,0,0,0,140,0,1.5,0,2.494,-1,999,110
2003,1,1,7,0,5.6,0,5.6,0,100,101586,0,0,0,0,0,0,0,190,0,2.1,0,2.566,0.3,0.3,99.2
2003,1,1,8,0,5.6,0,5.6,0,100,101666,0,2.3,0,2.3,14.5,53.8,9.3,240,0,2.1,0,2.656,0.3,999,89.1
2003,1,1,9,0,6.7,0,6.7,0,100,101726,0,31,0,31,122.8,354,57.3,360,0,3.1,0,2.738,-1,999,80.1
2003,1,1,10,0,7.8,0,7.8,0,100,101617,0,89,0,89,248.8,538.5,85.8,20,0,4.6,0,2.792,-1,999,72.5
2003,1,1,11,0,7.2,0,7.2,0,100,101577,0,106.8,0,106.8,345.3,616,104.5,20,0,4.6,0,2.834,0.5,999,67.1
2003,1,1,12,0,8.3,0,8.3,0,100,101407,0,127.3,0,127.3,394.8,642,115,40,0,6.7,0,2.852,2.3,999,64.2
2003,1,1,13,0,6.1,0,4.4,0,88.8,101277,0,118.5,0,118.5,393.5,634.5,117.5,40,0,6.7,0,2.823,1,4.1,64.2
2003,1,1,14,0,5,0,3.9,0,92.6,101166,0,86,0,86,338.3,576.8,114.8,50,0,6.2,0,2.836,1.5,999,67.2
2003,1,1,15,0,4.4,0,3.3,0,92.5,101036,0,55.8,0,55.8,239.8,486.8,94.5,40,0,7.7,0,2.946,2.3,999,72.8
2003,1,1,16,0,4.4,0,2.8,0,89.3,100956,0,16.3,0,16.3,114.8,298.8,60.3,40,0,7.2,0,3.057,0.3,999,80.4
2003,1,1,17,0,3.9,0,2.8,0,92.5,100896,0,1.8,0,1.8,12.8,38,9.3,40,0,8.2,0,3.033,1.5,999,89.5
2003,1,1,18,0,4.4,0,2.8,0,89.3,100836,0,0,0,0,0,0,0,20,0,6.2,0,3.036,4.8,999,99.6
2003,1,1,19,0,4.4,0,3.3,0,92.5,100627,0,0,0,0,0,0,0,30,0,9.3,0,3.032,6.6,17,110.5
2003,1,1,20,0,4.4,0,2.8,0,89.3,100447,0,0,0,0,0,0,0,50,0,12.4,0,2.894,4.1,999,121.7
2003,1,1,21,0,3.9,0,2.2,0,88.6,100397,0,0,0,0,0,0,0,30,0,9.8,0,2.739,1,999,133
2003,1,1,22,0,3.3,0,1.7,0,89.2,100347,0,0,0,0,0,0,0,30,0,12.4,0,2.719,-1,999,144.1
2003,1,1,23,0,3.3,0,1.7,0,89.2,100337,0,0,0,0,0,0,0,10,0,10.3,0,2.64,0.5,999,154.1
2003,1,1,24,0,2.8,0,1.1,0,88.5,100416,0,0,0,0,0,0,0,10,0,8.2,0,2.478,3,999,160.8
2003,1,2,1,0,2.8,0,1.1,0,88.5,100436,0,0,0,0,0,0,0,10,0,10.3,0,2.34,0,8.9,160.7
2003,1,2,2,0,2.8,0,0.6,0,85.4,100446,0,0,0,0,0,0,0,10,0,11.8,0,2.286,0,999,153.7
2003,1,2,3,0,2.8,0,0.6,0,85.4,100456,0,0,0,0,0,0,0,20,0,10.3,0,2.235,0,999,143.7
2003,1,2,4,0,3.9,0,0.6,0,79,100656,0,0,0,0,0,0,0,10,0,7.2,0,2.097,-1,999,132.6
2003,1,2,5,0,3.9,0,0.6,0,79,100826,0,0,0,0,0,0,0,360,0,7.2,0,1.944,0,999,121.2
2003,1,2,6,0,1.7,0,0,0,88.4,101036,0,0,0,0,0,0,0,340,0,6.2,0,1.813,0,999,110
2003,1,2,7,0,0.6,0,-1.1,0,88.3,101066,0,0,0,0,0,0,0,350,0,8.2,0,1.684,0,0.5,99.2
2003,1,2,8,0,0.6,0,-2.2,0,81.5,101316,0,16.5,83.5,8.3,16.5,83.5,8.3,350,0,8.8,0,1.587,0,999,89.1
2003,1,2,9,0,0.6,0,-2.8,0,77.9,101516,0,137.3,484.3,48.5,137.3,484.3,48.5,350,0,5.7,0,1.49,0,999,80.1
2003,1,2,10,0,0,0,-3.3,0,78.4,101626,0,273,672.8,69.3,273,672.8,69.3,350,0,8.2,0,1.441,0,999,72.5
2003,1,2,11,0,0.6,0,-3.9,0,71.7,101646,0,353.8,662.8,97.5,376.8,759.5,79.8,350,0,7.7,0,1.429,0,999,67
2003,1,2,12,0,1.7,0,-3.9,0,66.3,101666,0,385.8,606.5,120.3,431.5,795.8,84,340,0,5.2,0,1.427,0,999,64.1
2003,1,2,13,0,1.7,0,-4.4,0,63.8,101626,0,361,531.8,127.3,430.3,792.3,84.5,40,0,7.7,0,1.445,0,0,64.1
2003,1,2,14,0,1.7,0,-4.4,0,63.8,101696,0,245,228.5,156.3,372.5,744,82.5,10,0,6.2,0,1.48,0,999,67.1
2003,1,2,15,0,1.1,0,-4.4,0,66.6,101846,0,155.3,113.8,120,266.5,639.5,74,30,0,4.1,0,1.514,0,999,72.7
2003,1,2,16,0,1.1,0,-5,0,63.7,101946,0,64.5,17.8,60.8,130.3,429.8,52.8,40,0,3.6,0,1.519,0,999,80.3
2003,1,2,17,0,1.1,0,-4.4,0,66.6,102006,0,7.5,0,7.5,15,64.8,9,30,0,4.6,0,1.532,0,999,89.4
2003,1,2,18,0,0.6,0,-4.4,0,69.1,102086,0,0,0,0,0,0,0,60,0,5.2,0,1.551,0,999,99.5
2003,1,2,19,0,0,0,-5,0,69,102195,0,0,0,0,0,0,0,60,0,6.2,0,1.522,0,0,110.3
2003,1,2,20,0,-0.6,0,-3.9,0,78.3,102275,0,0,0,0,0,0,0,30,0,5.7,0,1.478,-1,999,121.5
2003,1,2,21,0,-1.1,0,-2.8,0,88.2,102265,0,0,0,0,0,0,0,60,0,7.7,0,1.456,-1,999,132.9
2003,1,2,22,0,-1.1,0,-3.3,0,84.9,102185,0,0,0,0,0,0,0,50,0,7.7,0,1.417,-1,999,143.9
2003,1,2,23,0,-1.1,0,-3.9,0,81.2,102245,0,0,0,0,0,0,0,50,0,6.7,0,1.386,-1,999,153.9
2003,1,2,24,0,-1.7,0,-3.9,0,84.9,102205,0,0,0,0,0,0,0,40,0,6.7,0,1.382,-1,999,160.7
2003,1,3,1,0,-1.7,0,-3.9,0,84.9,102175,0,0,0,0,0,0,0,40,0,6.7,0,1.395,0,0.3,160.6
2003,1,3,2,0,-1.1,0,-3.3,0,84.9,102155,0,0,0,0,0,0,0,40,0,7.7,0,1.416,0,999,153.7
2003,1,3,3,0,-0.6,0,-2.8,0,85,102115,0,0,0,0,0,0,0,40,0,6.7,0,1.441,-1,999,143.7
2003,1,3,4,0,-0.6,0,-2.8,0,85,102005,0,0,0,0,0,0,0,40,0,8.2,0,1.464,-1,999,132.6
2003,1,3,5,0,-0.6,0,-2.2,0,88.9,101955,0,0,0,0,0,0,0,50,0,8.2,0,1.495,-1,999,121.3
2003,1,3,6,0,0,0,-1.7,0,88.3,101966,0,0,0,0,0,0,0,40,0,7.2,0,1.539,-1,999,110
2003,1,3,7,0,0.6,0,-1.7,0,84.5,101896,0,0,0,0,0,0,0,60,0,8.8,0,1.603,0.3,0.5,99.2
2003,1,3,8,0,1.1,0,-1.1,0,85.2,101886,0,13.5,25.3,11,13.5,25.3,11,50,0,8.2,0,1.697,0,999,89.1
2003,1,3,9,0,1.1,0,-0.6,0,88.4,101806,0,87.8,112,66.3,118.8,232,74.3,60,0,8.2,0,1.758,-1,999,80.1
2003,1,3,10,0,1.7,0,0,0,88.4,101676,0,64.3,53.3,51.3,246,431.8,114.5,50,0,8.8,0,1.742,0.5,999,72.5
2003,1,3,11,0,2.2,0,0.6,0,89.1,101546,0,82.3,0,82.3,344.8,527.5,138,50,0,8.2,0,1.755,0.3,999,67
2003,1,3,12,0,2.2,0,1.1,0,92.4,101426,0,30.8,0,30.8,396.5,564,149.5,50,0,7.7,0,1.833,0.5,999,64
2003,1,3,13,0,2.8,0,1.1,0,88.5,101276,0,63,0,63,396.8,570.3,147,40,0,6.7,0,1.821,1,2,64
2003,1,3,14,0,2.8,0,1.7,0,92.4,101196,0,43.5,0,43.5,347.5,557,129,50,0,7.7,0,1.738,0.3,999,67
2003,1,3,15,0,2.8,0,1.7,0,92.4,101066,0,85.5,31,76,248.3,465.5,106,40,0,9.3,0,1.89,0.3,999,72.6
2003,1,3,16,0,2.8,0,1.7,0,92.4,100976,0,28,31.5,25,118,252.8,70.8,40,0,10.3,0,1.947,-1,999,80.2
2003,1,3,17,0,2.8,0,1.7,0,92.4,100906,0,13.5,31.5,10.5,13.5,31.5,10.5,50,0,9.8,0,1.969,-1,999,89.2
2003,1,3,18,0,2.8,0,1.1,0,88.5,100816,0,0,0,0,0,0,0,10,0,6.7,0,1.999,-1,999,99.4
2003,1,3,19,0,1.1,0,0,0,92.3,100756,0,0,0,0,0,0,0,20,0,9.8,0,1.994,-1,0.5,110.2
2003,1,3,20,0,1.1,0,0,0,92.3,100656,0,0,0,0,0,0,0,20,0,9.3,0,1.932,-1,999,121.4
2003,1,3,21,0,1.1,0,0,0,92.3,100556,0,0,0,0,0,0,0,30,0,8.8,0,1.757,-1,999,132.7
2003,1,3,22,0,1.1,0,0,0,92.3,100446,0,0,0,0,0,0,0,20,0,10.3,0,1.553,0.3,999,143.8
2003,1,3,23,0,1.7,0,0.6,0,92.4,100336,0,0,0,0,0,0,0,20,0,8.8,0,1.448,0.5,999,153.8
2003,1,3,24,0,1.7,0,0,0,88.4,100276,0,0,0,0,0,0,0,10,0,7.2,0,1.431,0.5,999,160.6
2003,1,4,1,0,1.7,0,0,0,88.4,100226,0,0,0,0,0,0,0,10,0,7.7,0,1.448,-1,1,160.6
2003,1,4,2,0,1.7,0,0.6,0,92.4,100266,0,0,0,0,0,0,0,340,0,6.2,0,1.456,0.3,999,153.7
2003,1,4,3,0,0.6,0,-0.6,0,91.6,100296,0,0,0,0,0,0,0,340,0,6.7,0,1.415,0,999,143.7
2003,1,4,4,0,0,0,-1.1,0,92.3,100306,0,0,0,0,0,0,0,330,0,5.7,0,1.331,-1,999,132.6
2003,1,4,5,0,0,0,-1.7,0,88.3,100316,0,0,0,0,0,0,0,330,0,5.7,0,1.232,-1,999,121.3
2003,1,4,6,0,-0.6,0,-2.2,0,88.9,100366,0,0,0,0,0,0,0,330,0,6.7,0,1.148,-1,999,110.1
2003,1,4,7,0,0,0,-2.8,0,81.4,100446,0,0,0,0,0,0,0,330,0,7.7,0,1.101,-1,999,99.3
2003,1,4,8,0,0,0,-2.2,0,85.1,100566,0,16.3,72.8,9,16.3,72.8,9,330,0,7.7,0,1.078,-1,999,89.1
2003,1,4,9,0,0,0,-2.2,0,85.1,100656,0,99,302.8,51.8,135.8,447.5,53.3,340,0,6.7,0,1.058,-1,999,80
2003,1,4,10,0,0.6,0,-2.8,0,77.9,100716,0,111.8,17.8,106.3,273.8,651.5,75.5,330,0,8.2,0,1.035,-1,999,72.4
2003,1,4,11,0,1.1,0,-2.2,0,78.6,100756,0,109.3,2.8,108.3,380.5,753.8,84.3,320,0,9.8,0,1.01,0,999,66.9
2003,1,4,12,0,1.1,0,-2.8,0,75.1,100766,0,114.3,0,114.3,439.8,807.3,84.5,330,0,8.2,0,0.988,0,999,63.9
2003,1,4,13,0,1.7,0,-2.2,0,75.2,100766,0,162,14,156,442,822.3,80.8,320,0,7.7,0,0.968,0,999,63.9
2003,1,4,14,0,1.7,0,-2.2,0,75.2,100796,0,82.5,7,79.5,387.3,797.8,73.5,340,0,5.2,0,0.95,0,999,66.9
2003,1,4,15,0,2.2,0,-2.8,0,69.4,100866,0,102.3,166.3,61.8,282,722.5,62.5,310,0,7.2,0,0.935,0,999,72.4
